date,status,skip_reason,trades,skipped_rows,crossover_entries,pullback_reentries,target_exits,stop_exits,gap_target_exits,gap_stop_exits,reversal_exits,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees,remarks
2022-05-05,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-06,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-09,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-10,SKIPPED,entry_open_beyond_stop,0,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Entry open 16321.3 invalidated the LONG setup stop 16323.20.
2022-05-11,TRADED,,1,0,1,0,0,1,0,0,0,0,1,0,-31.30,-2034.50,-31.30,-31.30,-31.30,0,1,31.30,2034.50,
2022-05-12,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-13,TRADED,,1,0,1,0,0,1,0,0,0,0,1,0,-1.20,-78.00,-1.20,-1.20,-1.20,0,1,1.20,78.00,
2022-05-16,TRADED,,1,0,1,0,0,1,0,0,0,0,1,0,-73.70,-4790.50,-73.70,-73.70,-73.70,0,1,73.70,4790.50,Open position carried through this date with no realized exit.
2022-05-17,SKIPPED,entry_open_beyond_stop,0,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Entry open 16115.0 invalidated the LONG setup stop 16115.90.
2022-05-18,FLAT,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,
2022-05-19,TRADED,,1,0,1,0,0,1,0,0,0,0,1,0,-19.40,-1261.00,-19.40,-19.40,-19.40,0,1,19.40,1261.00,Open position carried through this date with no realized exit.
2022-05-20,HELD,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-23,TRADED,,1,0,1,0,0,0,1,0,0,1,0,0,83.50,5427.50,83.50,83.50,83.50,1,0,0.00,0.00,
2022-05-24,TRADED,,1,0,1,0,1,0,0,0,0,1,0,0,28.40,1846.00,28.40,28.40,28.40,1,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-25,HELD,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-26,TRADED,,1,0,0,1,1,0,0,0,0,1,0,0,196.60,12779.00,196.60,196.60,196.60,1,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-27,TRADED,,1,0,1,0,0,1,0,0,0,0,1,0,-26.50,-1722.50,-26.50,-26.50,-26.50,0,1,26.50,1722.50,
