entry_date,status,skip_reason,expiry_date,lot_size,lots,qty,signal_timestamp,signal_close,spot_sma_25,spot_signal_relation,ma_gap,entry_timestamp,atm_strike,sold_side,contract_name,option_entry_open,exit_timestamp,option_exit_open,exit_reason,exit_spot_ma,gross_pnl,brokerage,net_pnl,remarks
2019-01-09,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-01-09T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-01-10,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-01-10T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-01-25,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-01-25T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-01,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-01T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-04,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-04T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-06,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-06T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-11,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-11T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-18,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-18T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-21,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-21T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-25,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-25T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-26,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-26T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-27,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-27T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-02-28,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-02-28T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-03-12,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-03-12T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-03-15,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-03-15T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-03-20,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-03-20T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-03-26,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-03-26T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
2019-04-03,SKIPPED,random_skip,2020-01-02,0,0,0,,,,,,2019-04-03T09:20:00+05:30,,,,,,,,,0.00,0.00,0.00,Day randomly skipped (human participation model).
